,id,artist,title,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2770,0cD0VOhYFfGcBXUYAgE9Z8,Einstein Study Music Academy,Brain Stimulation and Studying Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",21,0.389,0.00578,0.0,-43.438,0.0,0.0406,0.988,0.897,0.0946,0.744,76.938,109558.0,1.0
2771,4QBKyKaRD6Wk5iBSOqRewr,Einstein Study Music Academy,Studying Music and Peaceful Reading Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",21,0.451,0.00126,1.0,-40.676,1.0,0.0396,0.991,0.986,0.0968,0.21,77.189,118909.0,4.0
2772,5fa8ifpTGgpQDRgmNgqvMs,Einstein Study Music Academy,Easy Listening Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.418,0.00186,8.0,-40.837,0.0,0.048,0.995,0.938,0.14,0.275,66.282,82260.0,5.0
2773,3XBlCKSdPGjUbzPnlSVJpW,Einstein Study Music Academy,Piano Music for the Brain,"Studying Music: Piano Music to Make You Smarter, Vol. 5",21,0.558,0.00247,8.0,-42.154,0.0,0.0436,0.99,0.891,0.0992,0.544,69.983,99918.0,4.0
2774,0IHDPOo0AaENypUq4zlAqd,Einstein Study Music Academy,Improve Your Attention,"Studying Music: Piano Music to Make You Smarter, Vol. 5",21,0.482,0.00488,11.0,-38.046,1.0,0.0446,0.984,0.945,0.13,0.154,66.576,106266.0,5.0
2775,7HJhokMfFgJgfsYBgjHk4G,Einstein Study Music Academy,Homework Music and Study Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.33,0.000416,11.0,-42.528,1.0,0.063,0.986,0.893,0.0805,0.258,170.096,116532.0,3.0
2776,4dzRL6wc1PBZEQoIMhD2TL,Einstein Study Music Academy,Piano Music to Make You Smarter Again,"Studying Music: Piano Music to Make You Smarter, Vol. 2",28,0.529,0.00659,8.0,-39.424,0.0,0.0407,0.985,0.901,0.149,0.169,74.982,136072.0,4.0
2777,0vjvrzau1W6rphONACJxNv,Einstein Study Music Academy,Studying Songs,"Studying Music: Piano Music to Make You Smarter, Vol. 2",27,0.614,0.012,11.0,-28.12,1.0,0.0483,0.99,0.974,0.0933,0.107,97.039,110158.0,4.0
2778,5kPZve4rNyoeXL9mDCNwwA,Einstein Study Music Academy,Thinking and Creativity - Music for Study,"Studying Music: Piano Music to Make You Smarter, Vol. 2",27,0.527,0.0201,9.0,-31.149,1.0,0.0429,0.983,0.527,0.0759,0.172,89.993,115409.0,4.0
2779,6oyHy2XQIhoK0BPAlsE1QS,Einstein Study Music Academy,Excellence,"Studying Music: Piano Music to Make You Smarter, Vol. 2",26,0.443,0.00216,6.0,-31.093,1.0,0.0649,0.988,0.761,0.0962,0.186,69.706,147931.0,4.0
2780,0ceRNcS6qd2bmSjPFRI59Q,Einstein Study Music Academy,Music for Studying,"Studying Music: Piano Music to Make You Smarter, Vol. 2",25,0.421,0.00366,4.0,-35.146,0.0,0.0533,0.983,0.00468,0.0871,0.148,128.183,124761.0,4.0
2781,2WMPCMk77o2cbQhh0i67i6,Einstein Study Music Academy,Pachelbel Canon in D Piano Music,"Studying Music: Piano Music to Make You Smarter, Vol. 2",27,0.668,0.0254,2.0,-33.168,1.0,0.0649,0.988,0.918,0.0754,0.215,94.962,152268.0,4.0
2782,0B1kl2y4Ignw1k4zCVq1nP,Einstein Study Music Academy,Clear Thoughts,"Studying Music: Piano Music to Make You Smarter, Vol. 2",25,0.158,0.00197,3.0,-35.922,1.0,0.0486,0.761,0.886,0.108,0.18,68.65,96496.0,5.0
2783,33PqemSeXgcSnrUzYyDBKl,Einstein Study Music Academy,Calm Studying Music,"Studying Music: Piano Music to Make You Smarter, Vol. 2",24,0.331,0.00173,8.0,-35.269,0.0,0.0602,0.98,0.69,0.0994,0.0806,99.721,133721.0,4.0
2784,7HbyYEYZS730Azxp67K6DC,Einstein Study Music Academy,Power of the Brain,"Studying Music: Piano Music to Make You Smarter, Vol. 2",23,0.445,0.0547,8.0,-30.148,0.0,0.0419,0.994,0.881,0.0996,0.31,180.056,91402.0,4.0
2785,2clnQ8s5aS5aNtOHDidTI5,Einstein Study Music Academy,Self-Motivation,"Studying Music: Piano Music to Make You Smarter, Vol. 2",24,0.508,0.0122,1.0,-28.637,1.0,0.0442,0.994,0.959,0.0991,0.17,135.046,146730.0,3.0
2786,7elsMOnvaz9gsdYBMvxkbo,Einstein Study Music Academy,Piano Relaxation,"Studying Music: Piano Music to Make You Smarter, Vol. 2",23,0.19,0.00143,2.0,-43.199,0.0,0.042,0.925,0.0449,0.0901,0.117,53.567,132676.0,4.0
2787,0OYojjODXhUxL8fyDY78yp,Einstein Study Music Academy,Fresh Ideas,"Studying Music: Piano Music to Make You Smarter, Vol. 2",24,0.446,0.0031,10.0,-35.249,1.0,0.0462,0.984,0.854,0.157,0.188,140.023,114077.0,4.0
2788,4DuT5tL9nfK8xcbQbDrne2,Einstein Study Music Academy,Memory,"Studying Music: Piano Music to Make You Smarter, Vol. 2",23,0.271,0.00147,2.0,-38.003,0.0,0.0529,0.957,0.142,0.0844,0.112,81.408,147827.0,4.0
2789,0EUbNVTWDP00aqw0KjgQ5D,Einstein Study Music Academy,Relax the Mind,"Studying Music: Piano Music to Make You Smarter, Vol. 2",23,0.342,0.00102,8.0,-39.018,0.0,0.0492,0.982,0.0882,0.118,0.386,67.48,79386.0,3.0
2790,6le3QUTxL9gnMwcLoxOP6P,Einstein Study Music Academy,Soothing Music to Study By,"Studying Music: Piano Music to Make You Smarter, Vol. 2",23,0.593,0.0068,11.0,-38.007,1.0,0.0551,0.985,0.937,0.1,0.262,130.023,123768.0,4.0
2791,3yaH7f4DDYffbLrYX7ZjcO,Einstein Study Music Academy,Classical Music for Studying,"Studying Music: Piano Music to Make You Smarter, Vol. 2",29,0.361,0.00263,0.0,-37.238,1.0,0.0548,0.982,0.954,0.078,0.722,85.843,90749.0,4.0
2792,6cChtwbbfLeVbsEYPHeOb6,Einstein Study Music Academy,Music for Concentration,"Studying Music: Piano Music to Make You Smarter, Vol. 2",23,0.348,0.00139,2.0,-41.424,0.0,0.0683,0.983,0.766,0.0768,0.193,70.826,104281.0,4.0
2793,17mxJfMYyfUftc04nK25uD,Einstein Study Music Academy,Studying Music for Deep Focus,"Studying Music: Piano Music to Make You Smarter, Vol. 2",23,0.399,0.000671,2.0,-44.082,0.0,0.0438,0.989,0.753,0.0736,0.292,80.032,105822.0,4.0
2794,11qpQia6eatY80tr9kD5La,Einstein Study Music Academy,Exam Study Music,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.641,0.00493,8.0,-39.159,0.0,0.0482,0.993,0.927,0.133,0.735,100.047,90070.0,4.0
2795,3PPb1vC2LDyI3QUTl1Dlwg,Einstein Study Music Academy,Music to Improve Your Memory,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.54,0.00234,0.0,-38.549,1.0,0.0483,0.992,0.816,0.0953,0.169,103.958,101904.0,4.0
2796,41ywIsZE4O1NuuPWwWEIdx,Einstein Study Music Academy,Gentle Piano Music,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.544,0.000964,0.0,-37.754,1.0,0.0645,0.977,0.302,0.0773,0.128,100.187,77453.0,4.0
2797,2g40uURNxdfJDFNlIvXAzF,Einstein Study Music Academy,Extreme Mindfulness,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.54,0.00544,1.0,-34.021,1.0,0.0545,0.983,0.71,0.0704,0.154,135.95,128000.0,4.0
2798,1wLyaZXnWt6FC1Cqb0gEJt,Einstein Study Music Academy,Studying Music for Exams and Graduation,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.505,0.00229,0.0,-36.868,1.0,0.0531,0.914,0.00196,0.124,0.252,139.7,129489.0,4.0
2799,4jyLlvciGTHo5jE21DgpOC,Einstein Study Music Academy,Office Music,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.321,0.00179,0.0,-33.382,0.0,0.0465,0.975,0.666,0.12,0.07,71.281,89626.0,3.0
2800,2fIei4jbYR7URna78TvTyu,Einstein Study Music Academy,Music to Help You Study,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.538,0.00135,8.0,-35.888,1.0,0.111,0.986,0.495,0.0922,0.41,81.885,123716.0,4.0
2801,3v2jY3UdN1Sf9mMTzx9tqE,Einstein Study Music Academy,New Age Piano for Studying,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.502,0.0118,2.0,-32.005,0.0,0.0378,0.995,0.103,0.08,0.158,80.014,132807.0,4.0
2802,0ErWO5yIih2qvWruXkRskX,Einstein Study Music Academy,Meditation Music for Concentration,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.529,0.00644,11.0,-42.212,0.0,0.0485,0.949,0.962,0.0806,0.0386,81.947,116402.0,4.0
2803,7LBAy9j8wt4ouAjMOlbAqV,Einstein Study Music Academy,Piano Music for Reading,"Studying Music: Piano Music to Make You Smarter, Vol. 2",22,0.264,0.000953,0.0,-45.057,1.0,0.0492,0.957,0.000706,0.0994,0.496,134.387,101407.0,3.0
2804,3Og7X05iTpX4TUoIEAr5vB,Michael Tai,"Azalea Town / Blackthorn City (From ""Pokemon Gold/Silver/Crystal"")","Piano & Instrumental Works: Video Game Themes, Vol. III",31,0.484,0.155,1.0,-18.059,1.0,0.0463,0.974,0.901,0.0959,0.162,118.731,185416.0,4.0
2805,0hS94AAae5OhYM2lTUPwD3,GlitchxCity,Route 228 (Lo-Fi Remix),Route 228 (Lo-Fi Remix),42,0.704,0.359,6.0,-15.734,1.0,0.0401,0.0205,0.853,0.0865,0.22,89.995,418717.0,4.0
2806,565IoIuSM389HhAp8U69qf,GlitchxCity,Song of Storms (Lo-Fi Remix),Song of Storms (Lo-Fi Remix),47,0.621,0.393,2.0,-18.033,0.0,0.0496,0.17,0.832,0.113,0.271,80.003,240065.0,4.0
2807,4vEkY7p5BaifM0kKi2kHno,Michael Tai,"Littleroot Town (From ""Pokemon Ruby/Sapphire/Emerald"")","Piano & Instrumental Works: Video Game Themes, Vol. III",44,0.472,0.279,5.0,-14.741,1.0,0.0442,0.991,0.87,0.0909,0.391,98.699,211021.0,4.0
2808,1okbTzNQRpjtNg3nKknOkU,GlitchxCity,Eterna Forest (Lo-Fi Remix),Eterna Forest (Lo-Fi Remix),40,0.593,0.342,7.0,-17.946,1.0,0.0583,0.0815,0.774,0.0948,0.147,190.007,375954.0,3.0
2809,2bP1YBCylqAsf3GsHh53BH,GlitchxCity,Lost Woods (Chill Remix),Lost Woods (Chill Remix),48,0.515,0.287,0.0,-19.332,1.0,0.0344,0.463,0.863,0.111,0.178,170.011,316291.0,4.0
2810,02SsJkdg7xwugvXXxmyJQz,Eric Buchholz,Twinleaf Town,Pokémon Reorchestrated: Double Team!,41,0.271,0.197,0.0,-17.108,1.0,0.0394,0.931,0.851,0.14,0.0611,85.209,148387.0,4.0
2811,0xBxerqYnrHNhZy8gVKqBA,coldbrew,game boy advance sp,game boy advance sp,21,0.734,0.111,7.0,-20.176,1.0,0.109,0.988,0.937,0.13,0.134,112.685,89997.0,3.0
2812,2m7Y68bhEEAzRDARRzbdDt,Dj Cutman,The Legend of LoFi,The Legend of LoFi,51,0.755,0.316,6.0,-9.385,0.0,0.0835,0.602,0.935,0.108,0.37,80.015,145219.0,4.0
2813,3anIzgMgdkNcZP1uYskDcx,daigoro789,City Square (Midday): City Folk,'Animal Crossing' Series: Music for Piano,27,0.521,0.0484,0.0,-27.883,1.0,0.0735,0.994,0.919,0.207,0.464,141.702,121408.0,3.0
2814,4hlFbLNqvFB2ebR9ibQf1l,daigoro789,"1:00 A.M. (From ""Animal Crossing: New Leaf"")",Animal Crossing Series Piano Collections: 111 Tracks (For Piano Solo),35,0.568,0.0305,1.0,-35.106,0.0,0.0774,0.991,0.945,0.124,0.479,143.114,115328.0,4.0
2815,6OpYiRGF8Wei6xpSNwWgaU,Moisés Nieto,"11PM (From ""Animal Crossing: New Leaf"")","Piano Fables, Vol. 2",28,0.507,0.0532,4.0,-21.399,0.0,0.0677,0.995,0.957,0.0951,0.31,131.184,150790.0,4.0
